label	index	nr_regions	nr_eyes	hollowness	feature20
banana	1	1	1	40	40
banana	2	1	2	34	34
banana	3	1	1	37	37
banana	4	1	1	38	38
cherry	1	1	1	35	35
cherry	2	1	1	40	40
cherry	3	1	1	38	38
cherry	4	1	1	38	38
envelope	1	1	2	30	30
envelope	2	1	2	23	23
envelope	3	1	2	34	34
envelope	4	1	2	34	34
flower	1	1	5	48	48
flower	2	1	7	46	46
flower	3	1	6	48	48
flower	4	1	6	47	47
golfclub	1	3	1	37	37
golfclub	2	3	3	37	37
golfclub	3	3	1	36	36
golfclub	4	3	9	31	31
pear	1	1	1	35	35
pear	2	1	1	38	38
pear	3	1	1	37	37
pear	4	1	1	39	39
pencil	1	1	2	32	32
pencil	2	1	2	33	33
pencil	3	1	2	34	34
pencil	4	1	2	40	40
wineglass	1	1	0	38	38
wineglass	2	1	0	38	38
wineglass	3	1	0	39	39
wineglass	4	1	0	41	41
